Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"January 2, 2020 - December 31, 2020"
Statement,Data,WhenGenerated,"2026-03-21, 20:52:53 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,331840.39066896297
Summary,Data,Change,-98880.83450059997
Summary,Data,Ending Cash,232959.556168363
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2020-12-22,U***132,F 15JAN21 7.0 C,Buy,F     210115C00007000,2.0,1.84,USD,-368.0,-2.4076,-370.4076
Transaction History,Data,2020-12-22,U***132,F 18JUN21 8.0 C,Sell,F     210618C00008000,-1.0,1.56,USD,156.0,-0.8592476,155.1407524
Transaction History,Data,2020-12-22,U***638,Sell -100 WORKHORSE GROUP INC (Assignment),Assignment,WKHS,-100.0,12.5,USD,1250.0,-0.039525,1249.960475
Transaction History,Data,2020-12-18,U***638,SLV 30JUN21 22.0 C,Sell,SLV   210630C00022000,-1.0,4.03,USD,403.0,-1.0947063,401.9052937
Transaction History,Data,2020-12-18,U***638,SLV 15JAN21 20.0 C,Buy,SLV   210115C00020000,1.0,4.1,USD,-410.0,-1.0838,-411.0838
Transaction History,Data,2020-12-18,U***2030,F 18DEC20 6.0 C,Buy,F     201218C00006000,1.0,3.01,USD,-301.0,-1.0838,-302.0838
Transaction History,Data,2020-12-18,U***2030,F 18JUN21 9.0 C,Sell,F     210618C00009000,-1.0,1.13,USD,113.0,-1.0882973,111.9117027
Transaction History,Data,2020-12-17,U***638,VOD 16APR21 18.0 C,Sell,VOD   210416C00018000,-1.0,0.81,USD,81.0,-0.7875901,80.2124099
Transaction History,Data,2020-12-17,U***638,ORCL 18JUN21 65.0 C,Sell,ORCL  210618C00065000,-1.0,3.9,USD,390.0,-0.664419,389.335581
Transaction History,Data,2020-12-17,U***132,EXXON MOBIL CORP,Buy,XOM,100.0,43.665,USD,-4366.5,-1.0,-4367.5
Transaction History,Data,2020-12-17,U***638,VOD 16JUL21 17.0 C,Sell,VOD   210716C00017000,-1.0,1.44,USD,144.0,-0.6389824,143.3610176
Transaction History,Data,2020-12-17,U***638,VOD 31DEC20 16.0 C,Buy,VOD   201231C00016000,1.0,1.1,USD,-110.0,-0.6338,-110.6338
Transaction History,Data,2020-12-17,U***638,SLV 31DEC20 24.5 C,Sell,SLV   201231C00024500,-1.0,0.68,USD,68.0,-1.5773028,66.4226972
Transaction History,Data,2020-12-17,U***638,SLV 18DEC20 24.0 C,Buy,SLV   201218C00024000,1.0,0.35,USD,-35.0,-1.5738,-36.5738
Transaction History,Data,2020-12-16,U***638,PHG 16JUL21 65.0 C,Sell,PHG   210716C00065000,-1.0,0.52,USD,52.0,-0.2369492,51.7630508
Transaction History,Data,2020-12-16,U***638,Sell -100 VODAFONE GROUP PLC-SP ADR (Assignment),Assignment,VOD,-100.0,14.0,USD,1400.0,-0.04284,1399.95716
Transaction History,Data,2020-12-16,U***638,Sell -200 VODAFONE GROUP PLC-SP ADR (Assignment),Assignment,VOD,-200.0,15.0,USD,3000.0,-0.0901,2999.9099
Transaction History,Data,2020-12-16,U***638,Sell -100 VODAFONE GROUP PLC-SP ADR (Assignment),Assignment,VOD,-100.0,15.0,USD,1500.0,-0.04505,1499.95495
Transaction History,Data,2020-12-15,U***2030,ORCL 19FEB21 60.0 P,Buy,ORCL  210219P00060000,1.0,2.09,USD,-209.0,-0.7838,-209.7838
Transaction History,Data,2020-12-15,U***2030,ORCL 19FEB21 57.5 P,Buy,ORCL  210219P00057500,1.0,1.18,USD,-118.0,-0.7838,-118.7838
Transaction History,Data,2020-12-15,U***638,DBX 15JAN21 19.0 P,Buy,DBX   210115P00019000,1.0,0.13,USD,-13.0,-1.0838,-14.0838
Transaction History,Data,2020-12-15,U***638,ORCL 21JAN22 50.0 P,Buy,ORCL  220121P00050000,1.0,2.68,USD,-268.0,-0.7838,-268.7838
Transaction History,Data,2020-12-15,U***638,ORCL 21JAN22 52.5 P,Buy,ORCL  220121P00052500,1.0,3.38,USD,-338.0,-0.7838,-338.7838
Transaction History,Data,2020-12-14,U***638,XOM 15JAN21 50.0 C,Buy,XOM   210115C00050000,1.0,0.29,USD,-29.0,-1.0838,-30.0838
Transaction History,Data,2020-12-14,U***638,F 18JUN21 9.0 C,Sell,F     210618C00009000,-1.0,1.06,USD,106.0,-1.5681426,104.4318574
Transaction History,Data,2020-12-14,U***638,F 18DEC20 8.0 C,Buy,F     201218C00008000,1.0,0.93,USD,-93.0,-1.0838,-94.0838
Transaction History,Data,2020-12-14,U***2030,ORCL 19FEB21 55.0 P,Buy,ORCL  210219P00055000,1.0,0.68,USD,-68.0,-0.7838,-68.7838
Transaction History,Data,2020-12-14,U***2030,F 15JAN21 8.0 P,Buy,F     210115P00008000,1.0,0.11,USD,-11.0,-0.6638,-11.6638
Transaction History,Data,2020-12-11,U***638,ORCL 19FEB21 60.0 C,Sell,ORCL  210219C00060000,-1.0,2.75,USD,275.0,-0.7918775,274.2081225
Transaction History,Data,2020-12-11,U***638,ORCL 18JUN21 62.5 C,Sell,ORCL  210618C00062500,-1.0,3.65,USD,365.0,-0.6638665,364.3361335
Transaction History,Data,2020-12-11,U***638,ORCL 19MAR21 62.5 C,Sell,ORCL  210319C00062500,-1.0,2.42,USD,242.0,-0.7911482,241.2088518
Transaction History,Data,2020-12-11,U***132,ORCL 19MAR21 62.5 C,Sell,ORCL  210319C00062500,-1.0,2.42,USD,242.0,-0.7911482,241.2088518
Transaction History,Data,2020-12-11,U***132,ORCL 18JUN21 62.5 C,Sell,ORCL  210618C00062500,-1.0,3.65,USD,365.0,-0.6638665,364.3361335
Transaction History,Data,2020-12-11,U***132,ORCL 18JUN21 67.5 C,Sell,ORCL  210618C00067500,-1.0,2.01,USD,201.0,-0.7902421,200.2097579
Transaction History,Data,2020-12-11,U***2030,ORCL 19MAR21 62.5 C,Sell,ORCL  210319C00062500,-1.0,2.44,USD,244.0,-0.7911924,243.2088076
Transaction History,Data,2020-12-11,U***132,ORCL 18JUN21 70.0 C,Sell,ORCL  210618C00070000,-1.0,1.5,USD,150.0,-0.789115,149.210885
Transaction History,Data,2020-12-11,U***2030,ORCL 18JUN21 65.0 C,Sell,ORCL  210618C00065000,-1.0,2.74,USD,274.0,-0.7918554,273.2081446
Transaction History,Data,2020-12-11,U***2030,ORCL 18JUN21 67.5 C,Sell,ORCL  210618C00067500,-1.0,2.03,USD,203.0,-0.7902863,202.2097137
Transaction History,Data,2020-12-10,U***638,PHG 16APR21 60.0 C,Sell,PHG   210416C00060000,-1.0,0.62,USD,62.0,-0.2371702,61.7628298
Transaction History,Data,2020-12-10,U***2030,F 18DEC20 9.0 C,Buy,F     201218C00009000,1.0,0.38,USD,-38.0,-1.5738,-39.5738
Transaction History,Data,2020-12-10,U***2030,F 15JAN21 9.0 C,Sell,F     210115C00009000,-1.0,0.62,USD,62.0,-1.5771702,60.4228298
Transaction History,Data,2020-12-10,U***2030,F 18DEC20 9.0 C,Buy,F     201218C00009000,1.0,0.38,USD,-38.0,-0.8738,-38.8738
Transaction History,Data,2020-12-10,U***2030,F 15JAN21 9.0 C,Sell,F     210115C00009000,-1.0,0.62,USD,62.0,-0.8771702,61.1228298
Transaction History,Data,2020-12-10,U***2030,XOM 18JUN21 65.0 C,Sell,XOM   210618C00065000,-1.0,0.51,USD,51.0,-1.0869271,49.9130729
Transaction History,Data,2020-12-10,U***638,PHG 16JUL21 60.0 C,Sell,PHG   210716C00060000,-1.0,1.2,USD,120.0,-0.338452,119.661548
Transaction History,Data,2020-12-10,U***132,F 18JUN21 8.0 C,Sell,F     210618C00008000,-1.0,1.82,USD,182.0,-0.6398222,181.3601778
Transaction History,Data,2020-12-10,U***132,F 18DEC20 7.0 C,Buy,F     201218C00007000,1.0,2.23,USD,-223.0,-0.6338,-223.6338
Transaction History,Data,2020-12-10,U***638,XOM(US30231G1022) Cash Dividend USD 0.87 per Share (Ordinary Dividend),Dividend,XOM,-,-,-,957.0,-,957.0
Transaction History,Data,2020-12-10,U***132,XOM(US30231G1022) Cash Dividend USD 0.87 per Share (Ordinary Dividend),Dividend,XOM,-,-,-,348.0,-,348.0
Transaction History,Data,2020-12-10,U***2030,XOM(US30231G1022) Cash Dividend USD 0.87 per Share (Ordinary Dividend),Dividend,XOM,-,-,-,2784.0,-,2784.0
Transaction History,Data,2020-12-09,U***132,SLV 31DEC20 20.0 C,Buy,SLV   201231C00020000,1.0,2.63,USD,-263.0,-1.5738,-264.5738
Transaction History,Data,2020-12-09,U***132,SLV 16APR21 21.0 C,Sell,SLV   210416C00021000,-1.0,2.78,USD,278.0,-1.5819438,276.4180562
Transaction History,Data,2020-12-09,U***2030,F 18DEC20 8.0 C,Buy,F     201218C00008000,2.0,1.32,USD,-264.0,-1.4676,-265.4676
Transaction History,Data,2020-12-09,U***2030,F 18DEC20 7.0 C,Buy,F     201218C00007000,2.0,2.32,USD,-464.0,-1.4676,-465.4676
Transaction History,Data,2020-12-09,U***2030,F 18JUN21 7.0 C,Sell,F     210618C00007000,-2.0,2.59,USD,518.0,-1.4830478,516.5169522
Transaction History,Data,2020-12-09,U***2030,F 18JUN21 8.0 C,Sell,F     210618C00008000,-2.0,1.84,USD,368.0,-1.4797328,366.5202672
Transaction History,Data,2020-12-09,U***132,SLV 30SEP21 20.0 C,Sell,SLV   210930C00020000,-1.0,4.3,USD,430.0,-1.095303,428.904697
Transaction History,Data,2020-12-09,U***132,SLV 31DEC20 18.5 C,Buy,SLV   201231C00018500,1.0,4.1,USD,-410.0,-1.0838,-411.0838
Transaction History,Data,2020-12-09,U***132,ORCL 18JUN21 60.0 C,Sell,ORCL  210618C00060000,-1.0,4.05,USD,405.0,-1.0947505,403.9052495
Transaction History,Data,2020-12-09,U***132,ORCL 18DEC20 55.0 C,Buy,ORCL  201218C00055000,1.0,4.28,USD,-428.0,-1.0838,-429.0838
Transaction History,Data,2020-12-09,U***132,ORCL 18DEC20 55.0 C,Buy,ORCL  201218C00055000,1.0,4.28,USD,-428.0,-0.3838,-428.3838
Transaction History,Data,2020-12-09,U***132,ORCL 18JUN21 60.0 C,Sell,ORCL  210618C00060000,-1.0,4.05,USD,405.0,-0.3947505,404.6052495
Transaction History,Data,2020-12-09,U***638,SLV 31DEC20 17.0 C,Buy,SLV   201231C00017000,1.0,5.45,USD,-545.0,-1.5538,-546.5538
Transaction History,Data,2020-12-09,U***638,SLV 30SEP21 22.0 C,Sell,SLV   210930C00022000,-1.0,3.35,USD,335.0,-1.5632035,333.4367965
Transaction History,Data,2020-12-09,U***638,SLV 30SEP21 22.0 C,Sell,SLV   210930C00022000,-1.0,3.35,USD,335.0,-0.3932035,334.6067965
Transaction History,Data,2020-12-09,U***638,SLV 31DEC20 17.0 C,Buy,SLV   201231C00017000,1.0,5.45,USD,-545.0,-0.3838,-545.3838
Transaction History,Data,2020-12-09,U***638,SLV 19FEB21 22.0 C,Sell,SLV   210219C00022000,-1.0,1.71,USD,171.0,-1.0895791,169.9104209
Transaction History,Data,2020-12-09,U***638,SLV 31DEC20 22.0 C,Buy,SLV   201231C00022000,1.0,1.04,USD,-104.0,-1.0838,-105.0838
Transaction History,Data,2020-12-09,U***132,ORCL 18JUN21 60.0 C,Sell,ORCL  210618C00060000,-1.0,4.33,USD,433.0,-1.0953693,431.9046307
Transaction History,Data,2020-12-09,U***132,ORCL 18DEC20 60.0 C,Buy,ORCL  201218C00060000,1.0,1.39,USD,-139.0,-1.0838,-140.0838
Transaction History,Data,2020-12-09,U***2030,ORCL 18JUN21 60.0 C,Buy,ORCL  210618C00060000,1.0,4.25,USD,-425.0,-1.0738,-426.0738
Transaction History,Data,2020-12-09,U***2030,ORCL 21JAN22 57.5 P,Sell,ORCL  220121P00057500,-1.0,6.15,USD,615.0,-0.6693915,614.3306085
Transaction History,Data,2020-12-09,U***2030,ORCL 21JAN22 55.0 P,Sell,ORCL  220121P00055000,-1.0,5.0,USD,500.0,-1.09685,498.90315
Transaction History,Data,2020-12-09,U***2030,ORCL 19FEB21 57.5 P,Sell,ORCL  210219P00057500,-1.0,2.14,USD,214.0,-0.7905294,213.2094706
Transaction History,Data,2020-12-09,U***2030,ORCL 19FEB21 55.0 P,Sell,ORCL  210219P00055000,-1.0,1.3,USD,130.0,-0.788673,129.211327
Transaction History,Data,2020-12-09,U***132,ORCL 18JUN21 60.0 C,Buy,ORCL  210618C00060000,1.0,4.25,USD,-425.0,-0.6538,-425.6538
Transaction History,Data,2020-12-09,U***638,ORCL 15JAN21 60.0 C,Buy,ORCL  210115C00060000,1.0,1.87,USD,-187.0,-0.7838,-187.7838
Transaction History,Data,2020-12-09,U***132,ORACLE CORP,Buy,ORCL,100.0,59.255,USD,-5925.5,-1.0,-5926.5
Transaction History,Data,2020-12-09,U***2030,ORACLE CORP,Buy,ORCL,100.0,59.21,USD,-5921.0,-1.0,-5922.0
Transaction History,Data,2020-12-09,U***2030,ORCL 18JUN21 60.0 P,Sell,ORCL  210618P00060000,-1.0,5.27,USD,527.0,-1.0974467,525.9025533
Transaction History,Data,2020-12-09,U***132,ORCL 18JUN21 60.0 C,Buy,ORCL  210618C00060000,1.0,4.2,USD,-420.0,-1.0738,-421.0738
Transaction History,Data,2020-12-09,U***2030,ORCL 19FEB21 60.0 P,Sell,ORCL  210219P00060000,-1.0,3.31,USD,331.0,-1.5731151,329.4268849
Transaction History,Data,2020-12-09,U***2030,XOM 15JAN21 50.0 C,Sell,XOM   210115C00050000,-1.0,0.36,USD,36.0,-1.5165956,34.4834044
Transaction History,Data,2020-12-09,U***2030,XOM 15JAN21 42.5 C,Sell,XOM   210115C00042500,-1.0,2.2,USD,220.0,-1.090662,218.909338
Transaction History,Data,2020-12-09,U***2030,XOM 16APR21 60.0 C,Sell,XOM   210416C00060000,-1.0,0.36,USD,36.0,-0.7865956,35.2134044
Transaction History,Data,2020-12-09,U***2030,XOM 16APR21 55.0 C,Sell,XOM   210416C00055000,-1.0,0.67,USD,67.0,-0.7872807,66.2127193
Transaction History,Data,2020-12-09,U***2030,ORCL 19FEB21 60.0 C,Sell,ORCL  210219C00060000,-1.0,2.51,USD,251.0,-0.7913471,250.2086529
Transaction History,Data,2020-12-09,U***2030,XOM 21MAY21 60.0 C,Sell,XOM   210521C00060000,-1.0,0.53,USD,53.0,-1.0869713,51.9130287
Transaction History,Data,2020-12-09,U***2030,XOM 16JUL21 60.0 C,Sell,XOM   210716C00060000,-1.0,0.81,USD,81.0,-0.7875901,80.2124099
Transaction History,Data,2020-12-09,U***2030,XOM 15JAN21 47.5 C,Sell,XOM   210115C00047500,-1.0,0.67,USD,67.0,-1.0872807,65.9127193
Transaction History,Data,2020-12-09,U***2030,XOM 16JUL21 55.0 C,Sell,XOM   210716C00055000,-1.0,1.31,USD,131.0,-0.7886951,130.2113049
Transaction History,Data,2020-12-09,U***2030,XOM 15JAN21 45.0 C,Sell,XOM   210115C00045000,-1.0,1.22,USD,122.0,-1.0884962,120.9115038
Transaction History,Data,2020-12-09,U***2030,F 19FEB21 9.0 C,Sell,F     210219C00009000,-1.0,0.93,USD,93.0,-0.7878553,92.2121447
Transaction History,Data,2020-12-09,U***2030,F 19FEB21 10.0 C,Sell,F     210219C00010000,-1.0,0.47,USD,47.0,-0.6668387,46.3331613
Transaction History,Data,2020-12-09,U***2030,F 15JAN21 9.0 C,Sell,F     210115C00009000,-1.0,0.72,USD,72.0,-0.6673912,71.3326088
Transaction History,Data,2020-12-09,U***638,AUY 16APR21 5.0 P,Sell,AUY   210416P00005000,-1.0,0.36,USD,36.0,-1.5665956,34.4334044
Transaction History,Data,2020-12-09,U***2030,XOM 21MAY21 50.0 C,Sell,XOM   210521C00050000,-1.0,1.73,USD,173.0,-1.0896233,171.9103767
Transaction History,Data,2020-12-09,U***2030,XOM 21MAY21 50.0 C,Sell,XOM   210521C00050000,-1.0,1.73,USD,173.0,-0.0896233,172.9103767
Transaction History,Data,2020-12-09,U***2030,BYND 15JAN21 135.0 P,Buy,BYND  210115P00135000,1.0,6.05,USD,-605.0,-0.6538,-605.6538
Transaction History,Data,2020-12-09,U***2030,MSFT 17SEP21 185.0 P,Sell,MSFT  210917P00185000,-1.0,9.85,USD,985.0,-0.6775685,984.3224315
Transaction History,Data,2020-12-09,U***2030,FORD MOTOR CO,Buy,F,100.0,9.44,USD,-944.0,-1.0,-945.0
Transaction History,Data,2020-12-09,U***638,ORCL 19MAR21 55.0 C,Buy,ORCL  210319C00055000,1.0,6.05,USD,-605.0,-0.6538,-605.6538
Transaction History,Data,2020-12-09,U***638,ORCL 19MAR21 60.0 C,Buy,ORCL  210319C00060000,1.0,3.21,USD,-321.0,-0.7838,-321.7838
Transaction History,Data,2020-12-09,U***132,ORCL 18JUN21 60.0 C,Buy,ORCL  210618C00060000,1.0,4.32,USD,-432.0,-0.7838,-432.7838
Transaction History,Data,2020-12-09,U***2030,ORACLE CORP,Buy,ORCL,100.0,59.27,USD,-5927.0,-1.0,-5928.0
Transaction History,Data,2020-12-09,U***132,DBX 16JUL21 15.0 P,Sell,DBX   210716P00015000,-1.0,0.53,USD,53.0,-0.7869713,52.2130287
Transaction History,Data,2020-12-09,U***2030,XOM 15JAN21 52.5 C,Buy,XOM   210115C00052500,1.0,0.27,USD,-27.0,-1.0838,-28.0838
Transaction History,Data,2020-12-09,U***2030,XOM 15JAN21 55.0 C,Buy,XOM   210115C00055000,1.0,0.16,USD,-16.0,-0.7838,-16.7838
Transaction History,Data,2020-12-09,U***2030,XOM 16APR21 47.5 C,Sell,XOM   210416C00047500,-1.0,2.19,USD,219.0,-0.7906399,218.2093601
Transaction History,Data,2020-12-09,U***2030,EXXON MOBIL CORP,Buy,XOM,100.0,43.37,USD,-4337.0,-1.0,-4338.0
Transaction History,Data,2020-12-09,U***2030,XOM 16APR21 45.0 C,Sell,XOM   210416C00045000,-1.0,3.01,USD,301.0,-0.7924521,300.2075479
Transaction History,Data,2020-12-09,U***2030,XOM 16JUL21 50.0 C,Sell,XOM   210716C00050000,-1.0,2.37,USD,237.0,-0.7910377,236.2089623
Transaction History,Data,2020-12-09,U***2030,XOM 16JUL21 45.0 C,Sell,XOM   210716C00045000,-1.0,3.9,USD,390.0,-0.664419,389.335581
Transaction History,Data,2020-12-09,U***2030,XOM 16APR21 50.0 C,Sell,XOM   210416C00050000,-1.0,1.58,USD,158.0,-0.7892918,157.2107082
Transaction History,Data,2020-12-09,U***2030,XOM 18JUN21 47.5 C,Sell,XOM   210618C00047500,-1.0,2.81,USD,281.0,-1.0920101,279.9079899
Transaction History,Data,2020-12-09,U***2030,XOM 18JUN21 60.0 C,Sell,XOM   210618C00060000,-1.0,0.77,USD,77.0,-0.7875017,76.2124983
Transaction History,Data,2020-12-09,U***2030,XOM 21MAY21 45.0 C,Sell,XOM   210521C00045000,-1.0,3.41,USD,341.0,-0.7933361,340.2066639
Transaction History,Data,2020-12-09,U***2030,XOM 16JUL21 47.5 C,Sell,XOM   210716C00047500,-1.0,3.1,USD,310.0,-1.082651,308.917349
Transaction History,Data,2020-12-09,U***2030,XOM 18JUN21 50.0 C,Sell,XOM   210618C00050000,-1.0,2.15,USD,215.0,-1.0905515,213.9094485
Transaction History,Data,2020-12-09,U***638,XOM 16JUL21 50.0 C,Sell,XOM   210716C00050000,-1.0,2.36,USD,236.0,-0.7910156,235.2089844
Transaction History,Data,2020-12-09,U***638,EXXON MOBIL CORP,Buy,XOM,100.0,43.36,USD,-4336.0,-1.0,-4337.0
Transaction History,Data,2020-12-09,U***638,XOM 16JUL21 60.0 C,Sell,XOM   210716C00060000,-1.0,0.9,USD,90.0,-0.787789,89.212211
Transaction History,Data,2020-12-09,U***638,EXXON MOBIL CORP,Buy,XOM,20.0,43.34,USD,-866.8,-1.0,-867.8
Transaction History,Data,2020-12-09,U***638,EXXON MOBIL CORP,Buy,XOM,80.0,43.34,USD,-3467.2,-,-3467.2
Transaction History,Data,2020-12-09,U***2030,EXXON MOBIL CORP,Buy,XOM,100.0,43.29,USD,-4329.0,-1.0,-4330.0
Transaction History,Data,2020-12-09,U***638,XOM 18JUN21 65.0 C,Sell,XOM   210618C00065000,-1.0,0.47,USD,47.0,-0.7868387,46.2131613
Transaction History,Data,2020-12-09,U***638,MSFT 17SEP21 190.0 P,Sell,MSFT  210917P00190000,-1.0,11.5,USD,1150.0,-0.681215,1149.318785
